date;Mexico;US;Germany
2020-03-05;3.878975950349108e-08;5.584218512898331e-07;4.1926958193176355e-06
2020-03-06;4.654771140418929e-08;7.192716236722307e-07;6.415185007208073e-06
2020-03-07;4.654771140418929e-08;1.2230652503793627e-06;8.217203267659778e-06
2020-03-08;5.430566330488751e-08;1.575113808801214e-06;1.01753964440173e-05
2020-03-09;5.430566330488751e-08;1.8027314112291352e-06;1.335896203748198e-05
2020-03-10;5.430566330488751e-08;2.3732928679817907e-06;1.5569437770302738e-05
2020-03-11;6.206361520558572e-08;3.48103186646434e-06;1.8825084094185486e-05
2020-03-12;9.309542280837858e-08;4.813353566009105e-06;2.8459875060067274e-05
2020-03-13;2.017067494181536e-07;6.734446130500759e-06;3.6785199423354154e-05
2020-03-14;3.180760279286268e-07;9.03793626707132e-06;4.559106198942816e-05
2020-03-15;4.1117145073700545e-07;9.748103186646435e-06;5.8121095627102355e-05
2020-03-16;6.361520558572536e-07;1.420030349013657e-05;7.222489187890437e-05
2020-03-17;7.214895267649341e-07;1.9763277693474962e-05;8.596828447861605e-05
2020-03-18;9.154383242823894e-07;2.782701062215478e-05;9.848630466122057e-05
2020-03-19;1.2723041117145073e-06;4.146585735963581e-05;0.00013213599231138876
2020-03-20;1.5748642358417378e-06;6.078907435508346e-05;0.0001676717924074964
2020-03-21;1.947245927075252e-06;7.898330804248862e-05;0.0002001681883709755
2020-03-22;2.4515128006206363e-06;0.00010605159332321699;0.00022357039884670832
2020-03-23;2.8471683475562454e-06;0.000139896813353566;0.0002723690533397405
2020-03-24;3.1419705197827775e-06;0.00017212139605462824;0.0003296011532916867
2020-03-25;3.6850271528316526e-06;0.00020892564491654022;0.0003790725612686209
2020-03-26;4.538401861908456e-06;0.00026301062215478;0.00043858721768380587
2020-03-27;5.562451512800621e-06;0.0003194324734446131;0.0005080249879865449
2020-03-28;6.578743211792087e-06;0.0003866980273141123;0.0005836376741950985
2020-03-29;7.703646237393328e-06;0.00043564188163884674;0.000631271023546372
2020-03-30;8.487199379363847e-06;0.0005028770864946889;0.0006883469485824123
2020-03-31;9.425911559348331e-06;0.0005829408194233688;0.0007437890437289764
2020-04-01;1.069045771916214e-05;0.0006775538694992413;0.0008092984142239308
2020-04-02;1.1714507370054305e-05;0.0007755083459787557;0.0008832532436328688
2020-04-03;1.3095422808378589e-05;0.0008738421851289833;0.000957424315233061
2020-04-04;1.4662529092319627e-05;0.0009704886191198786;0.0010304901489668428
2020-04-05;1.6625290923196277e-05;0.0010592291350531107;0.0011018020182604518
2020-04-06;1.892164468580295e-05;0.0011556843702579666;0.001145975492551658
2020-04-07;2.160589604344453e-05;0.0012468406676783004;0.0011920350792888035
2020-04-08;2.4678044996121022e-05;0.001341113808801214;0.0012401249399327248
2020-04-09;2.669511249030256e-05;0.0014491866464339908;0.0012998798654493032
2020-04-10;2.982156710628394e-05;0.0015532321699544766;0.0013638274867851994
2020-04-11;3.2730799069045775e-05;0.0016410136570561456;0.0014134790965881787
2020-04-12;3.615981380915438e-05;0.001720855842185129;0.0014473690533397406
2020-04-13;3.889837083010085e-05;0.0018032321699544764;0.0014778471888515137
2020-04-14;4.1885182311869665e-05;0.0018892048558421851;0.0015028592023065834
2020-04-15;4.536074476338247e-05;0.0019677996965098634;0.001532724651609803
2020-04-16;4.8851823118696667e-05;0.0020577481031866466;0.0015671552138395003
2020-04-17;5.3335919317300233e-05;0.002158224582701062;0.001607760691975012
2020-04-18;5.8161365399534524e-05;0.002241165402124431;0.00165111725132148
2020-04-19;6.408844065166796e-05;0.002318318664643399;0.0016806463238827486
2020-04-20;6.805275407292475e-05;0.002409620637329287;0.0017019702066314272
2020-04-21;7.370830100853375e-05;0.0024887556904400606;0.0017234142239308024
2020-04-22;8.179984484096198e-05;0.0025794415781487104;0.0017502883229216723
2020-04-23;9.024825446082235e-05;0.00267645220030349;0.001778543969245555
2020-04-24;9.986035686578743e-05;0.0027734628224582703;0.0018066194137433926
2020-04-25;0.0001073855702094647;0.0028672837632776936;0.001831307063911581
2020-04-26;0.00011386346004654771;0.002946103186646434;0.0018521744353676118
2020-04-27;0.00012047323506594259;0.0030209135053110773;0.001864404132628544
2020-04-28;0.0001299612102404965;0.0030954901365705615;0.0018781475252282556
2020-04-29;0.00013808378588052754;0.0031769833080424886;0.001893813070639116
2020-04-30;0.0001491388673390225;0.0032671259484066766;0.0019115689572321
2020-05-01;0.0001608921644685803;0.003373019726858877;0.0019312590100913022
2020-05-02;0.0001713576415826222;0.003454245827010622;0.001942611725132148
2020-05-03;0.0001820868890612878;0.0035262731411229136;0.0019521383950024027
2020-05-04;0.00019321179208688907;0.0035985098634294384;0.0019602955309947143
2020-05-05;0.00020190069821567107;0.0036714051593323216;0.0019685247477174437
2020-05-06;0.0002143832428238945;0.0037457056145675264;0.0019799014896684287
2020-05-07;0.00022975950349107835;0.0038298907435508345;0.0019953267659778952
2020-05-08;0.00024454615981380916;0.00391238846737481;0.002009851033157136
2020-05-09;0.0002595810705973623;0.003986603945371776;0.002024879865449303
2020-05-10;0.0002716989914662529;0.004043499241274659;0.0020328928399807786
2020-05-11;0.0002818231186966641;0.004101396054628225;0.0020371816434406535
2020-05-12;0.00029731574864235843;0.0041723581183611535;0.002048390197020663
2020-05-13;0.0003117610550814585;0.004233101669195751;0.002057976934166266
2020-05-14;0.0003304499612102405;0.00431167526555387;0.002069185487746276
2020-05-15;0.00034935608999224206;0.004387095599393019;0.002080153772224892
2020-05-16;0.0003657408844065167;0.0044600849772382396;0.0020876021143680923
2020-05-17;0.00038183863460046545;0.00451692564491654;0.0020946059586737144
2020-05-18;0.000400566330488751;0.004584628224582701;0.0020987145603075445
2020-05-19;0.00042161365399534523;0.004646852807283763;0.0021048774627582894
2020-05-20;0.00043905352986811484;0.004716127465857359;0.0021144521864488227
2020-05-21;0.0004621179208688906;0.004792461305007587;0.0021234022104757327
2020-05-22;0.00048508145849495733;0.004864779969650987;0.0021289283998077845
2020-05-23;0.0005109076803723817;0.004926051593323217;0.002136592984142239
2020-05-24;0.0005323506594259116;0.004987277693474962;0.0021417707832772706
2020-05-25;0.0005516291698991466;0.005045226100151745;0.0021452426717924076
2020-05-26;0.000578432893716059;0.005102057663125948;0.0021504324843825084
2020-05-27;0.0006052986811481769;0.005159001517450683;0.002154781355117732
2020-05-28;0.0006314972847168347;0.005223544764795144;0.0021590221047573283
2020-05-29;0.0006565321955003879;0.0052996661608497725;0.00216792407496396
2020-05-30;0.0006789138867339023;0.005369711684370258;0.002176790004805382
2020-05-31;0.000703366951124903;0.0054271289833080424;0.00218022585295531
2020-06-01;0.0007248642358417378;0.00548127162367223;0.002184226333493513
2020-06-02;0.0007550504266873546;0.005542242792109257;0.0021867851994233542
2020-06-03;0.0007853995345228859;0.005600379362670713;0.002190893801057184
2020-06-04;0.0008198603568657874;0.005685156297420334;0.0021956271023546373
2020-06-05;0.0008535764158262219;0.00576539908952959;0.002201717924074964
2020-06-06;0.0008814507370054305;0.005826913505311077;0.002206607400288323
2020-06-07;0.0009084794414274632;0.005881013657056146;0.002210223450264296
2020-06-08;0.000931745539177657;0.005932303490136571;0.002212794329649207
2020-06-09;0.0009643211792086889;0.005993975720789075;0.0022169990389235943
2020-06-10;0.0010022032583397982;0.006059887708649469;0.002220819317635752
2020-06-11;0.0010393638479441428;0.006127499241274659;0.002227486785199423
2020-06-12;0.001079875872769589;0.006205065250379362;0.0022305862566074004
2020-06-13;0.0011069821567106285;0.0062783793626707135;0.0022347669389716483
2020-06-14;0.0011391543832428238;0.006335742033383915;0.0022377342623738587
2020-06-15;0.0011657408844065167;0.006399471927162367;0.002240040845747237
2020-06-16;0.0012014197051978279;0.006473975720789074;0.0022445819317635754
2020-06-17;0.0012396664080682699;0.006556069802731411;0.002248726573762614
2020-06-18;0.0012835919317300234;0.006641735963581184;0.002255694377703027
2020-06-19;0.0013226144297905354;0.006735981790591806;0.0022649447381066796
2020-06-20;0.0013592086889061287;0.006832570561456752;0.002272164824603556
2020-06-21;0.0014006594259115593;0.006910980273141123;0.002280418068236425
2020-06-22;0.001436167571761055;0.007001423368740516;0.002286869293608842
2020-06-23;0.0014849495733126456;0.007118962063732929;0.00229291206150889
2020-06-24;0.0015271295577967416;0.007228980273141123;0.002299963959634791
2020-06-25;0.0015744840961986035;0.007348248861911988;0.002307532436328688
2020-06-26;0.0016166951124903025;0.007497098634294385;0.0023132628543969247
2020-06-27;0.0016509076803723818;0.007620783004552352;0.0023215160980297935
2020-06-28;0.0016823273855702094;0.007751056145675265;0.002324591542527631
2020-06-29;0.0017118463925523662;0.007876382397572079;0.0023277390677558865
2020-06-30;0.0017539875872769589;0.008027593323216996;0.002333721768380586
2020-07-01;0.0017980605120248255;0.008176676783004553;0.0023393200384430562
2020-07-02;0.001850356865787432;0.008343423368740516;0.0023453628063431044
2020-07-03;0.001902645461598138;0.008499732928679818;0.0023507208073041807
2020-07-04;0.0019562839410395653;0.008639174506828528;0.0023557904853435847
2020-07-05;0.0019926144297905354;0.00880223368740516;0.002358661701105238
2020-07-06;0.002030643910007758;0.008933235204855842;0.0023612926477654976
2020-07-07;0.0020791931730023273;0.00910692564491654;0.0023659778952426717
2020-07-08;0.002133460046547711;0.009289948406676784;0.0023707472369053338
2020-07-09;0.0021899379363847942;0.009470998482549318;0.0023760571840461316
2020-07-10;0.0022433979829325056;0.00967997875569044;0.0023808024987986543
2020-07-11;0.002290674941815361;0.009863405159332322;0.0023853435848149927
2020-07-12;0.0023254460822342902;0.010045899848254932;0.002388322921672273
2020-07-13;0.002361792086889061;0.01022606373292868;0.002390233061028352
2020-07-14;0.0024164934057408845;0.010425341426403643;0.0023951826045170593
2020-07-15;0.0024641970519782776;0.010625723823975721;0.002399399327246516
2020-07-16;0.0025138944918541503;0.010840637329286798;0.0024058145122537243
2020-07-17;0.0025701939487975172;0.011042373292867981;0.0024128183565593465
2020-07-18;0.0026292707525213343;0.011237584218512899;0.0024191734742912063
2020-07-19;0.0026704732350659424;0.011416437025796661;0.002421600192215281
2020-07-20;0.002710597362296354;0.01160054324734446;0.002424591542527631
2020-07-21;0.0027638091543832426;0.01180750531107739;0.002430862566074003
2020-07-22;0.0028105042668735455;0.012012497723823975;0.0024363166746756365
2020-07-23;0.002875965865011637;0.012218525037936268;0.0024431523306102836
2020-07-24;0.0029347168347556244;0.012446588770864946;0.0024529432964920713
2020-07-25;0.0029870907680372384;0.012641429438543248;0.0024623258049014897
2020-07-26;0.0030296043444530646;0.012810895295902883;0.0024659899086977416
2020-07-27;0.0030681846392552367;0.012992151745068285;0.002470074483421432
2020-07-28;0.0031241039565554694;0.01318890440060698;0.0024776790004805383
2020-07-29;0.0031687276958882855;0.01338352655538695;0.002485896203748198
2020-07-30;0.003228696664080683;0.013593666160849772;0.0024967323402210477
2020-07-31;0.0032943134212567882;0.013789647951441579;0.0025071840461316675
2020-08-01;0.00336844840961986;0.013964391502276177;0.00251865689572321
2020-08-02;0.003406097750193949;0.014107362670713202;0.0025215401249399326
2020-08-03;0.003443079906904577;0.014233869499241275;0.002527654973570399
2020-08-04;0.00349077579519007;0.014420992412746586;0.002538214800576646
2020-08-05;0.003538401861908456;0.014585933232169954;0.0025471167707832774
2020-08-06;0.0035895267649340575;0.014768573596358118;0.0025596708313310908
2020-08-07;0.0036416369278510475;0.014952449165402124;0.0025734502642960114
2020-08-08;0.003692024825446082;0.015146479514415782;0.00258692936088419
2020-08-09;0.0037259736229635376;0.015311174506828527;0.0025935968284478616
2020-08-10;0.003769092319627618;0.015467827010622154;0.002598834694858241
2020-08-11;0.0038209619860356866;0.015640679817905918;0.0026104396924555504
2020-08-12;0.003866408068269977;0.01580833990895296;0.0026251681883709757
2020-08-13;0.003923591931730024;0.015965110773899848;0.0026425276309466604
2020-08-14;0.003967176105508146;0.016177933232169955;0.002659935127342624
2020-08-15;0.004016400310318076;0.0163369468892261;0.002676934166266218
2020-08-16;0.004050907680372382;0.01644214264036419;0.0026844425756847668
2020-08-17;0.004078611326609775;0.01655701062215478;0.002691182123978856
2020-08-18;0.004121326609775019;0.016693283763277694;0.0027078808265257087
2020-08-19;0.0041662606671838635;0.01683253717754173;0.0027260211436809225
2020-08-20;0.004218820791311094;0.016969496206373294;0.0027465281114848633
2020-08-21;0.004264809930178433;0.01711393019726859;0.0027636713118692935
2020-08-22;0.004315096974398759;0.017252543247344463;0.0027881066794810186
2020-08-23;0.004345725368502715;0.017349389984825492;0.002797501201345507
2020-08-24;0.004373196276183088;0.017452342943854324;0.002806042767900048
2020-08-25;0.00441133436772692;0.01758185128983308;0.0028213959634790964
2020-08-26;0.004452195500387898;0.01770953869499241;0.002840329168668909
2020-08-27;0.004498944918541505;0.017862855842185128;0.002858433445458914
2020-08-28;0.004544127230411171;0.01800388770864947;0.0028773065833733783
2020-08-29;0.004590473235065943;0.01813470106221548;0.002895074483421432
2020-08-30;0.004622505818463926;0.018238285280728378;0.002904505045651129
2020-08-31;0.004651357641582622;0.01833953566009105;0.002911833253243633
2020-09-01;0.004701598138091544;0.018466934749620637;0.0029264656415185007
2020-09-02;0.00473977501939488;0.018588212443095598;0.002941554541086016
2020-09-03;0.004785833979829325;0.018725210925644917;0.002957304180682364
2020-09-04;0.004833902249806051;0.018871899848254933;0.0029747597308986064
2020-09-05;0.004882924747866563;0.019004291350531107;0.002991314271984623
2020-09-06;0.004918719937936385;0.01909266464339909;0.003003183565593465
2020-09-07;0.0049457641582622185;0.019167210925644915;0.0030129625180201824
2020-09-08;0.004987276958882855;0.019248376327769347;0.00303097068716963
2020-09-09;0.00502188518231187;0.019350464339908953;0.0030450985103315713
2020-09-10;0.0050610085337470904;0.019470185128983308;0.0030678279673234023
2020-09-11;0.0051070519782777345;0.01960561153262519;0.0030856559346468045
2020-09-12;0.0051510705973622966;0.019743951441578148;0.0031052378664103795
2020-09-13;0.005185267649340574;0.019866230652503793;0.0031166266218164342
2020-09-14;0.005211140418929403;0.01996505918057663;0.003127763094666026
2020-09-15;0.005248153607447634;0.020077890743550833;0.003144666025949063
2020-09-16;0.005282629945694337;0.020194103186646432;0.003167503604036521
2020-09-17;0.005307315748642358;0.020331641881638846;0.0031938611244593947
2020-09-18;0.005344871993793639;0.020483945371775416;0.0032168789043728976
2020-09-19;0.005384957331264546;0.020622877086494688;0.003244473810667948
2020-09-20;0.00541243599689682;0.0207491593323217;0.003260631907736665
2020-09-21;0.0054350659425911555;0.020846406676783006;0.0032717083133109084
2020-09-22;0.005471396431342126;0.020962555386949924;0.003293584814992792
2020-09-23;0.005508525989138867;0.02108735053110774;0.0033148366170110523
2020-09-24;0.005550480993017843;0.021235705614567526;0.0033405814512253726
2020-09-25;0.0055923816912335144;0.021378758725341427;0.003366446419990389
2020-09-26;0.005635616757176105;0.021510919575113807;0.003396564151850072
2020-09-27;0.005665764158262219;0.02161343550834598;0.003413503123498318
2020-09-28;0.005692141194724593;0.02172797268588771;0.0034278231619413744
2020-09-29;0.005726633048875097;0.02185553869499241;0.003452919269581932
2020-09-30;0.005765833979829325;0.021972779969650986;0.003474519461797213
2020-10-01;0.0058053917765709855;0.022113125948406677;0.003504589139836617
2020-10-02;0.005842435996896819;0.02227532018209408;0.0035367011052378663
2020-10-03;0.005880162916989915;0.02242488315629742;0.0035674915905814513
2020-10-04;0.0059089604344453065;0.02252543247344461;0.0035948702546852473
2020-10-05;0.006127075252133437;0.022638807283763277;0.0036114728495915426
2020-10-06;0.0061645306439100074;0.022773996965098634;0.0036431763575204227
2020-10-07;0.006200062063615205;0.02292312291350531;0.0036771504084574724
2020-10-08;0.006241179208688906;0.02309881335356601;0.003725901009130226
2020-10-09;0.006284096198603569;0.023265972685887707;0.0037801537722248917
2020-10-10;0.006317517455391776;0.023434003034901365;0.003836869293608842
2020-10-11;0.006342148952676494;0.02357633990895296;0.0038787121576165304
2020-10-12;0.006369627618308766;0.023704048558421852;0.003908349351273426
2020-10-13;0.006402948021722265;0.023856166919575116;0.003957868813070639
2020-10-14;0.0064344142746314975;0.02403353262518968;0.0040195218644882265
2020-10-15;0.006477191621411947;0.02422636115326252;0.00409926717924075
2020-10-16;0.006529565554693561;0.024439332321699543;0.0041873738587217685
2020-10-17;0.006571823118696664;0.024605742033383914;0.004281439211917347
2020-10-18;0.00660377812257564;0.024764072837632777;0.0043485583853916385
2020-10-19;0.006632474786656323;0.024970088012139607;0.004400516578567996
2020-10-20;0.006677377812257564;0.025157453717754172;0.0044830249879865445
2020-10-21;0.006730480993017843;0.0253416904400607;0.00457426717924075
2020-10-22;0.00678177657098526;0.02558333535660091;0.004709863046612205
2020-10-23;0.006833010085337471;0.02583116540212443;0.004844918308505526
