Date;Mexico;US;Germany
2021-05-11;0.07359809930178433;0.35379775113808803;0.09638262854396924
2021-05-12;0.07359809930178433;0.357048373292868;0.09996011532916867
2021-05-13;0.07650250581846392;0.3611147435508346;0.10598714560307544
2021-05-14;0.07842197827773467;0.3649731016691958;0.10885312349831812
2021-05-15;0.07842197827773467;0.3695546828528073;0.10885312349831812
2021-05-16;0.08226901474010861;0.37415078907435506;0.10885312349831812
2021-05-17;0.08264158262218774;0.37580644613050074;0.11211148486304662
2021-05-18;0.08264158262218774;0.3777107526555387;0.11883655694377702
2021-05-19;0.08635860356865788;0.3807387647951442;0.11895273906775589
2021-05-20;0.08831735453840187;0.38423419119878605;0.13113685728015378
2021-05-21;0.08831735453840187;0.38779438543247347;0.13627635752042289
2021-05-22;0.09092465477114042;0.3915218907435508;0.13627635752042289
2021-05-23;0.09162691233514353;0.3945801972685888;0.13627635752042289
2021-05-24;0.09162691233514353;0.3964060606980273;0.1429189332051898
2021-05-25;0.09179370054305663;0.3978106464339909;0.1429189332051898
2021-05-26;0.09179370054305663;0.4001520151745068;0.15681914944738107
2021-05-27;0.09247238169123352;0.40294353262518967;0.16427778712157617
2021-05-28;0.09247238169123352;0.40525810015174507;0.17055623498318118
2021-05-29;0.09558253685027153;0.40794764188163884;0.17055623498318118
2021-05-30;0.09612288595810706;0.40794764188163884;0.17557727054300817
2021-05-31;0.09631688906128782;0.40997668892261;0.17557727054300817
2021-06-01;0.09778734678044997;0.41234423368740514;0.18745905814512254
2021-06-02;0.10022851047323507;0.4132177541729894;0.19603766218164345
2021-06-03;0.10409124903025602;0.414702937784522;0.20073160740028834
2021-06-04;0.10707418929402637;0.41716348103186646;0.20712367851994234
2021-06-05;0.10952875096974399;0.4191584279210926;0.20712367851994234
2021-06-06;0.10952875096974399;0.42175818816388466;0.20712367851994234
2021-06-07;0.10994931730023273;0.42412340212443095;0.21849094185487747
2021-06-08;0.11011084561675717;0.4262274871016692;0.21849094185487747
2021-06-09;0.11139550814584949;0.42786072837632777;0.2385546011532917
2021-06-10;0.11357011636927851;0.42969120485584217;0.2480593584814993
