t;ydata;fitted
67.0;182028.0;338961.8079443876
68.0;182370.0;347889.5758381668
69.0;182764.0;356970.6037073834
70.0;183271.0;366203.4076014663
71.0;183678.0;375586.29064994847
72.0;183979.0;385117.3365884263
73.0;184193.0;394794.40880519844
74.0;184543.0;404615.1531675875
75.0;184861.0;414576.99616172735
76.0;185416.0;424677.14431081567
77.0;185674.0;434912.58781884366
78.0;186022.0;445280.10477507237
79.0;186269.0;455776.26121176186
80.0;186461.0;466397.41649582767
81.0;186839.0;477139.730690794
82.0;187184.0;487999.16836613277
83.0;187764.0;498971.5056027226
84.0;188534.0;510052.3386156166
85.0;189135.0;521237.09215542726
86.0;189822.0;532521.0285113574
87.0;190359.0;543899.2576716256
88.0;190862.0;555366.7476991116
89.0;191449.0;566918.337282883
90.0;192079.0;578548.7477982977
91.0;192556.0;590252.5936652429
92.0;193243.0;602024.3979018806
93.0;193499.0;613858.6064748274
94.0;193761.0;625749.5995131275
95.0;194259.0;637691.7056407728
96.0;194725.0;649679.2201046292
97.0;195228.0;661706.417681899
98.0;195674.0;673767.5628466107
99.0;196096.0;685856.9311636533
100.0;196335.0;697968.8232607227
101.0;196554.0;710097.5734503159
102.0;196944.0;722237.5684346544
103.0;197341.0;734383.2635569467
104.0;197783.0;746529.1924895438
105.0;198178.0;758669.9782085577
106.0;198556.0;770800.3524092239
107.0;198804.0;782915.1653013193
108.0;198963.0;795009.3913600218
109.0;199375.0;807078.1470056701
110.0;199726.0;819116.7004299877
111.0;200260.0;831120.4763591245
112.0;200843.0;843085.0668423087
113.0;201372.0;855006.2415912979
114.0;201574.0;866879.9527934082
115.0;201823.0;878702.3389964271
116.0;202345.0;890469.7345628709
117.0;202799.0;902178.6729832483
118.0;203368.0;913825.8884909839
119.0;204183.0;925408.320768266
120.0;204964.0;936923.1169243549
121.0;205269.0;948367.6322440417
122.0;205609.0;959739.4305926563
123.0;206242.0;971036.2841688378
124.0;206926.0;982256.1726016573
125.0;207828.0;993397.282144314
126.0;208698.0;1004458.0017960152
127.0;209653.0;1015436.9205076271
128.0;209893.0;1026332.8259543203
129.0;210402.0;1037144.6985239228
130.0;211281.0;1047871.7060855204
131.0;212022.0;1058513.2007354796
132.0;213067.0;1069068.7144852914
133.0;214214.0;1079537.9514618306
134.0;215336.0;1089920.7830022373
135.0;215891.0;1100217.241041615
136.0;216327.0;1110427.5110951206
137.0;217293.0;1120551.9277516552
138.0;218519.0;1130590.966503994
139.0;219964.0;1140545.2365703634
140.0;221413.0;1150415.475416758
141.0;222828.0;1160202.5404376737
142.0;223453.0;1169907.4023186243
143.0;224014.0;1179531.1392396926
144.0;225404.0;1189074.9284332255
145.0;226914.0;1198540.040202094
146.0;228621.0;1207927.8316758361
147.0;230048.0;1217239.7390917786
148.0;232082.0;1226477.2723094844
149.0;232864.0;1235642.0083581153
150.0;233575.0;1244735.584754317
151.0;234853.0;1253759.6943937107
152.0;236429.0;1262716.0793451343
