t;ydata;fitted
59.0;1662402.0;1406282.3443882917
60.0;1681128.0;1464102.939061878
61.0;1699891.0;1523947.7477700398
62.0;1721158.0;1585858.6344879374
63.0;1746240.0;1649875.9320334499
64.0;1769320.0;1716038.2145812039
65.0;1788239.0;1784382.0573655106
66.0;1806079.0;1854941.7843173025
67.0;1826169.0;1927749.2271660073
68.0;1845325.0;2002833.4501453086
69.0;1873259.0;2080220.4872138095
70.0;1899699.0;2159933.0919200946
71.0;1919968.0;2241990.4339941535
72.0;1937794.0;2326407.86130144
73.0;1954694.0;2413196.624136321
74.0;1975015.0;2502363.587577571
75.0;1996733.0;2593911.03121894
76.0;2019011.0;2687836.351876787
77.0;2044569.0;2784131.844774706
78.0;2068726.0;2882784.5287564923
79.0;2087627.0;2983775.87109817
80.0;2108626.0;3087081.6793973497
81.0;2133175.0;3192671.9231185373
82.0;2160225.0;3300510.5686440673
83.0;2188452.0;3410555.5652612904
84.0;2219506.0;3522758.6980848867
85.0;2251332.0;3637065.5822454956
86.0;2277168.0;3753415.7099775677
87.0;2306969.0;3871742.41214751
88.0;2345698.0;3991973.0102211647
89.0;2381949.0;4114028.912249183
90.0;2421248.0;4237825.753077808
91.0;2470294.0;4363273.650117492
92.0;2511048.0;4490277.407278485
93.0;2553973.0;4618736.813020055
94.0;2595268.0;4748546.9772094935
95.0;2645092.0;4879598.686293345
96.0;2694215.0;5011778.790822032
97.0;2749158.0;5144970.653308359
98.0;2800662.0;5279054.614335541
99.0;2846608.0;5413908.428618843
100.0;2900336.0;5549407.844091697
101.0;2943501.0;5685427.077276871
102.0;3000732.0;5821839.33173689
103.0;3061038.0;5958517.430835182
104.0;3120694.0;6095334.243072778
105.0;3189553.0;6232163.311107081
106.0;3249992.0;6368879.406192254
107.0;3310124.0;6505358.93199433
108.0;3369488.0;6641480.591368931
109.0;3435150.0;6777125.795814858
110.0;3501176.0;6912179.084611402
111.0;3571990.0;7046528.631333516
112.0;3638462.0;7180066.63868349
113.0;3702784.0;7312689.72353957
114.0;3761716.0;7444299.189365799
115.0;3822379.0;7574801.376518855
116.0;3890573.0;7704107.8932245
117.0;3958118.0;7832135.845101525
118.0;4026004.0;7958807.998800034
119.0;4101151.0;8084052.917607399
120.0;4165351.0;8207805.058745538
121.0;4221190.0;8330004.822575938
122.0;4280914.0;8450598.57211495
123.0;4345744.0;8569538.616247492
124.0;4409872.0;8686783.149364335
125.0;4479113.0;8802296.183930181
126.0;4543689.0;8916047.402080879
127.0;4601267.0;9028012.045367649
128.0;4648376.0;9138170.762405738
129.0;4690060.0;9246509.364878943
130.0;4751717.0;9353018.688251117
131.0;4806065.0;9457694.355980635
132.0;4866245.0;9560536.53438358
133.0;4926832.0;9661549.684283592
134.0;4990765.0;9760742.320863614
135.0;5045032.0;9858126.777862143
136.0;5096649.0;9953718.920305146
137.0;5153604.0;10047537.908305902
138.0;5208848.0;10139605.917054394
139.0;5260504.0;10229947.9067512
140.0;5330629.0;10318591.34800357
141.0;5383024.0;10405565.995918043
142.0;5417686.0;10490903.636843923
143.0;5455535.0;10574637.867081046
144.0;5500437.0;10656803.865202373
145.0;5546321.0;10737438.180748673
146.0;5591449.0;10816578.53274247
147.0;5639040.0;10894263.612884616
148.0;5684713.0;10970532.908478163
149.0;5716624.0;11045426.525388855
150.0;5750547.0;11118985.03223239
151.0;5793220.0;11191249.306711143
