t;ydata;fitted
142.0;522162.0;682511.6643653187
143.0;525733.0;697533.9699046388
144.0;531239.0;712405.5136906225
145.0;537031.0;727110.3693927225
146.0;543806.0;741633.6582378295
147.0;549734.0;755961.5956408106
148.0;556216.0;770081.5381217224
149.0;560164.0;783982.0057370083
150.0;563705.0;797652.7031104689
151.0;568621.0;811084.526465314
152.0;573888.0;824269.5557486877
153.0;579914.0;837201.0482689412
154.0;585738.0;849873.4096501785
155.0;591712.0;862282.1687611997
156.0;595841.0;874423.9387344137
157.0;599560.0;886296.3726806957
158.0;606036.0;897898.1181704189
159.0;610957.0;909228.7611996175
160.0;616894.0;920288.772318596
161.0;623090.0;931079.4470817748
162.0;629409.0;941602.8456139746
163.0;634023.0;951861.7316532751
164.0;637509.0;961859.5112936364
165.0;642860.0;971600.1707673385
166.0;647321.0;981088.2179974418
167.0;652364.0;990328.6223656728
168.0;658299.0;999326.7585805184
169.0;663973.0;1008088.3527460664
170.0;668381.0;1016619.4281743532
171.0;671716.0;1024926.258751062
172.0;676487.0;1033015.319778727
173.0;680931.0;1040893.2461032624
174.0;684113.0;1048566.7912162894
175.0;688954.0;1056042.7887976384
176.0;694121.0;1063328.1201412643
177.0;697663.0;1070429.680609462
178.0;700580.0;1077354.3528284286
179.0;705263.0;1084108.9800773175
180.0;710049.0;1090700.343349422
181.0;715457.0;1097135.141588083
182.0;720858.0;1103419.9727527583
183.0;726431.0;1109561.3191379672
184.0;730317.0;1115565.5332635741
185.0;733717.0;1121438.826659369
186.0;738163.0;1127187.2603238837
187.0;743216.0;1132816.7366271196
188.0;748315.0;1138332.9932232604
189.0;753090.0;1143741.5980694564
190.0;757953.0;1149047.9458678698
191.0;761665.0;1154257.2557797283
192.0;789780.0;1159374.5700196628
193.0;794608.0;1164404.75324375
194.0;799188.0;1169352.4931392143
195.0;804488.0;1174222.3021344603
196.0;810020.0;1179018.5187111753
197.0;814328.0;1183745.3098706114
198.0;817503.0;1188406.6738638813
199.0;821045.0;1193006.443396674
200.0;825340.0;1197548.2899421721
201.0;829396.0;1202035.727402998
202.0;834910.0;1206472.1158455312
203.0;841661.0;1210860.6658890648
204.0;847108.0;1215204.4435928485
205.0;851227.0;1219506.3749058554
206.0;854926.0;1223769.2501990057
207.0;860714.0;1227995.7289668615
208.0;867559.0;1232188.3445600795
209.0;874171.0;1236349.5088398845
210.0;880775.0;1240481.516805479
211.0;886800.0;1244586.5512825071
212.0;891160.0;1248666.687360102
213.0;895326.0;1252723.896837671
214.0;901268.0;1256760.0525589008
215.0;906863.0;1260776.9327384261
216.0;912811.0;1264776.2250391087
217.0;918811.0;1268759.530631878
218.0;924962.0;1272728.3680856172
219.0;929392.0;1276684.1771774949
220.0;933155.0;1280628.3225404178
221.0;938405.0;1284562.0972204516
222.0;943630.0;1288486.7260903865
223.0;949197.0;1292403.3691359204
224.0;955128.0;1296313.1246231317
225.0;961938.0;1300217.0321394124
226.0;967825.0;1304116.0755243108
227.0;972785.0;1308011.185660442
228.0;978531.0;1311903.2431675503
229.0;986177.0;1315793.0809657865
230.0;991835.0;1319681.4867420064
231.0;997393.0;1323569.2052865545
232.0;1003253.0;1327456.940750861
233.0;1006522.0;1331345.3587915306
234.0;1009396.0;1335235.0886019003
235.0;1011153.0;1339126.7248711046
236.0;1015071.0;1343020.8296328522
237.0;1019543.0;1346917.9340334374
238.0;1025969.0;1350818.540017383
239.0;1032688.0;1354723.121921376
240.0;1041875.0;1358632.127997292
241.0;1049358.0;1362545.9818567827
242.0;1060152.0;1366465.083842906
243.0;1070487.0;1370389.8123304131
244.0;1078594.0;1374320.5249642662
245.0;1090675.0;1378257.559830458
246.0;1101403.0;1382201.2365674933
247.0;1107071.0;1386151.857422228
248.0;1113543.0;1390109.7082433975
249.0;1122362.0;1394075.0594306886
250.0;1133613.0;1398048.1668293844
251.0;1144643.0;1402029.2725738403
252.0;1156770.0;1406018.6058943956
253.0;1168395.0;1410016.3838708603
254.0;1175850.0;1414022.8121509124
255.0;1182249.0;1418038.0856298888
256.0;1193255.0;1422062.389085465
257.0;1205229.0;1426095.8977879828
258.0;1217126.0;1430138.7780691532
259.0;1229379.0;1434191.187859883
260.0;1241436.0;1438253.2772036218
261.0;1250044.0;1442325.1887315405
262.0;1255974.0;1446407.0581189315
263.0;1267202.0;1450499.0145128448
264.0;1277499.0;1454601.1809311947
265.0;1289298.0;1458713.674647508
266.0;1301546.0;1462836.6075452866
267.0;1313675.0;1466970.0864558835
268.0;1320545.0;1471114.213478327
269.0;1325915.0;1475269.0862743056
270.0;1338426.0;1479434.798353352
271.0;1350079.0;1483611.4393365653
272.0;1362564.0;1487799.0952043897
273.0;1372243.0;1491997.848534417
274.0;1377217.0;1496207.7787187397
275.0;1383434.0;1500428.962173122
276.0;1389430.0;1504661.4725325608
277.0;1401529.0;1508905.380831992
278.0;1413935.0;1513160.7556814991
279.0;1426094.0;1517427.6634261792
280.0;1437185.0;1521706.1682981206
281.0;1443544.0;1525996.33256069
282.0;1448755.0;1530298.2166402664
283.0;1455219.0;1534611.8792526142
284.0;1466490.0;1538937.3775213608
285.0;1479835.0;1543274.7670889546
286.0;1493569.0;1547624.1022195402
287.0;1507931.0;1551985.4358960008
288.0;1524036.0;1556358.819911774
289.0;1534039.0;1560744.3049562688
290.0;1541633.0;1565141.9406949973
291.0;1556028.0;1569551.7758442452
292.0;1571901.0;1573973.8582418947
293.0;1588369.0;1578408.2349125883
294.0;1609735.0;1582854.952129755
295.0;1630258.0;1587314.0554731654
296.0;1641428.0;1591785.58988312
297.0;1649502.0;1596269.5997106084
298.0;1668396.0;1600766.12876467
299.0;1688944.0;1605275.2203565908
300.0;1711283.0;1609796.9173411767
301.0;1732290.0;1614331.2621554248
302.0;1752347.0;1618878.296854494
303.0;1763219.0;1623438.063145607
304.0;1771740.0;1628010.6024192972
305.0;1788905.0;1632595.9557790724
306.0;1806849.0;1637194.1640687324
307.0;1825519.0;1641805.2678981978
308.0;1841893.0;1646429.3076672852
309.0;1857230.0;1651066.3235882022
310.0;1864260.0;1655716.3557063346
311.0;1869708.0;1660379.4439197609
312.0;1874092.0;1665055.6279974072
313.0;1886245.0;1669744.947595975
314.0;1886245.0;1674447.4422757898
315.0;1912871.0;1679163.1515154508
316.0;1926080.0;1683892.1147256708
317.0;1932145.0;1688634.371261987
318.0;1936013.0;1693389.9604367989
319.0;1946751.0;1698158.9215303953
320.0;1957889.0;1702941.2938014125
321.0;1968566.0;1707737.1164964272
322.0;1978954.0;1712546.4288590122
323.0;1988695.0;1717369.2701380935
324.0;1992794.0;1722205.6795957852
325.0;1995892.0;1727055.696514669
326.0;2004575.0;1731919.360204565
327.0;2013563.0;1736796.71000888
328.0;2022662.0;1741687.7853104617
329.0;2030491.0;1746592.6255371298
330.0;2038276.0;1751511.2701667415
331.0;2041380.0;1756443.7587320039
332.0;2043632.0;1761390.130824872
333.0;2052266.0;1766350.4261007265
334.0;2060908.0;1771324.6842822032
335.0;2069370.0;1776312.9451628162
336.0;2076882.0;1781315.2486103002
337.0;2084128.0;1786331.6345697504
338.0;2086938.0;1791362.1430665473
339.0;2089281.0;1796406.8142090805
340.0;2097194.0;1801465.6881913117
341.0;2104987.0;1806538.8052951419
342.0;2112508.0;1811626.2058926597
343.0;2119305.0;1816727.930448206
344.0;2125866.0;1821844.0195203465
345.0;2128600.0;1826974.5137636827
346.0;2130477.0;1832119.453930582
347.0;2137884.0;1837278.880872774
348.0;2144486.0;1842452.8355428707
349.0;2150955.0;1847641.3589957813
350.0;2157771.0;1852844.49239005
351.0;2163875.0;1858062.276989118
352.0;2166290.0;1863294.7541625025
353.0;2167729.0;1868541.9653869264
354.0;2169007.0;1873803.9522473714
355.0;2175462.0;1879080.756438086
356.0;2182188.0;1884372.41976353
