t;ydata;fitted
734.0;5659535.0;5455257.472159992
735.0;5662073.0;5470619.953293815
736.0;5665376.0;5486025.696229889
737.0;5666215.0;5501474.822786323
738.0;5666921.0;5516967.455067771
739.0;5671144.0;5532503.715623815
740.0;5683288.0;5548083.727379932
741.0;5715504.0;5563707.613631954
742.0;5719829.0;5579375.498046065
743.0;5722596.0;5595087.504658802
744.0;5722933.0;5610843.75787706
745.0;5723214.0;5626644.382478084
746.0;5723862.0;5642489.501764
747.0;5724611.0;5658379.240388203
748.0;5725075.0;5674313.725688463
749.0;5725476.0;5690293.083767453
750.0;5726668.0;5706317.441090469
751.0;5727668.0;5722386.924485427
752.0;5727668.0;5738501.661142866
753.0;5729270.0;5754661.778615948
754.0;5730560.0;5770867.404820454
755.0;5731635.0;5787118.66803479
756.0;5731635.0;5803415.696899981
757.0;5733428.0;5819758.620419677
758.0;5733785.0;5836147.56700775
759.0;5733925.0;5852582.665263897
760.0;5735115.0;5869064.046507665
761.0;5736579.0;5885591.841086678
762.0;5737811.0;5902166.17970587
763.0;5738769.0;5918787.193427487
764.0;5739680.0;5935455.013671086
765.0;5739680.0;5952169.772213536
766.0;5740080.0;5968931.601189017
767.0;5739680.0;5985740.63308902
768.0;5739680.0;6002597.000762346
769.0;5739680.0;6019500.83741511
770.0;5739680.0;6036452.277262287
